,background-background,background-cutting,cutting-cutting,cutting-background,background-suturing,suturing-tying,tying-background,tying-suturing,background-tying,suturing-background,suturing-suturing,cutting-none,none-background,none-cutting,tying-tying,cutting-suturing,suturing-none,suturing-cutting,background-none,none-none,none-suturing,cutting-tying,tying-cutting,background-abstain,abstain-abstain,abstain-background,tying-none,none-tying,abstain-cutting,suturing-abstain,abstain-tying,abstain-suturing
count,21603,1378.0,4249.0,1344.0,609.0,429.0,554,246.0,366.0,448.0,987.0,121.0,35.0,116.0,458.0,46.0,16.0,23.0,28.0,236.0,18.0,36.0,29.0,12.0,19.0,12.0,11.0,7.0,1.0,6.0,2.0,3.0
background,21211,743.0,110.0,718.0,325.0,45.0,308,53.0,160.0,199.0,17.0,3.0,17.0,4.0,21.0,15.0,,3.0,14.0,4.0,,5.0,7.0,6.0,1.0,6.0,,,1.0,,,
cutting,228,623.0,4085.0,611.0,7.0,1.0,3,,5.0,2.0,1.0,84.0,7.0,79.0,2.0,14.0,,9.0,5.0,5.0,,13.0,11.0,,,,,,,1.0,,
suturing,77,3.0,2.0,1.0,262.0,212.0,15,107.0,67.0,169.0,894.0,,2.0,,34.0,13.0,10.0,8.0,1.0,,15.0,6.0,1.0,,,,,6.0,,,2.0,2.0
tying,82,2.0,2.0,4.0,12.0,169.0,224,73.0,134.0,78.0,68.0,,1.0,,399.0,3.0,5.0,2.0,1.0,1.0,1.0,12.0,10.0,,,,9.0,1.0,,5.0,,
none,4,7.0,50.0,10.0,3.0,2.0,3,10.0,,,7.0,34.0,8.0,33.0,2.0,,1.0,1.0,7.0,226.0,2.0,,,,,,1.0,,,,,1.0
abstain,1,,,,,,1,3.0,,,,,,,,1.0,,,,,,,,6.0,18.0,6.0,1.0,,,,,
